"","mpg","cylinders","displacement","horsepower","weight","acceleration","model.year","origin","car.name"
"1",18,8,307,130,3504,12,70,1,"chevrolet chevelle malibu"
"2",15,8,350,165,3693,11.5,70,1,"buick skylark 320"
"3",18,8,318,150,3436,11,70,1,"plymouth satellite"
"4",16,8,304,150,3433,12,70,1,"amc rebel sst"
"5",17,8,302,140,3449,10.5,70,1,"ford torino"
"6",15,8,429,198,4341,10,70,1,"ford galaxie 500"
"7",14,8,454,220,4354,9,70,1,"chevrolet impala"
"8",14,8,440,215,4312,8.5,70,1,"plymouth fury iii"
"9",14,8,455,225,4425,10,70,1,"pontiac catalina"
"10",15,8,390,190,3850,8.5,70,1,"amc ambassador dpl"
"11",15,8,383,170,3563,10,70,1,"dodge challenger se"
"12",14,8,340,160,3609,8,70,1,"plymouth 'cuda 340"
"13",15,8,400,150,3761,9.5,70,1,"chevrolet monte carlo"
"14",14,8,455,225,3086,10,70,1,"buick estate wagon (sw)"
"15",24,4,113,95,2372,15,70,3,"toyota corona mark ii"
"16",22,6,198,95,2833,15.5,70,1,"plymouth duster"
"17",18,6,199,97,2774,15.5,70,1,"amc hornet"
"18",21,6,200,85,2587,16,70,1,"ford maverick"
"19",27,4,97,88,2130,14.5,70,3,"datsun pl510"
"20",26,4,97,46,1835,20.5,70,2,"volkswagen 1131 deluxe sedan"
"21",25,4,110,87,2672,17.5,70,2,"peugeot 504"
"22",24,4,107,90,2430,14.5,70,2,"audi 100 ls"
"23",25,4,104,95,2375,17.5,70,2,"saab 99e"
"24",26,4,121,113,2234,12.5,70,2,"bmw 2002"
"25",21,6,199,90,2648,15,70,1,"amc gremlin"
"26",10,8,360,215,4615,14,70,1,"ford f250"
"27",10,8,307,200,4376,15,70,1,"chevy c20"
"28",11,8,318,210,4382,13.5,70,1,"dodge d200"
"29",9,8,304,193,4732,18.5,70,1,"hi 1200d"
"30",27,4,97,88,2130,14.5,71,3,"datsun pl510"
"31",28,4,140,90,2264,15.5,71,1,"chevrolet vega 2300"
"32",25,4,113,95,2228,14,71,3,"toyota corona"
"33",25,4,98,72.9755,2046,19,71,1,"ford pinto"
"34",19,6,232,100,2634,13,71,1,"amc gremlin"
"35",16,6,225,105,3439,15.5,71,1,"plymouth satellite custom"
"36",17,6,250,100,3329,15.5,71,1,"chevrolet chevelle malibu"
"37",19,6,250,88,3302,15.5,71,1,"ford torino 500"
"38",18,6,232,100,3288,15.5,71,1,"amc matador"
"39",14,8,350,165,4209,12,71,1,"chevrolet impala"
"40",14,8,400,175,4464,11.5,71,1,"pontiac catalina brougham"
"41",14,8,351,153,4154,13.5,71,1,"ford galaxie 500"
"42",14,8,318,150,4096,13,71,1,"plymouth fury iii"
"43",12,8,383,180,4955,11.5,71,1,"dodge monaco (sw)"
"44",13,8,400,170,4746,12,71,1,"ford country squire (sw)"
"45",13,8,400,175,5140,12,71,1,"pontiac safari (sw)"
"46",18,6,258,110,2962,13.5,71,1,"amc hornet sportabout (sw)"
"47",22,4,140,72,2408,19,71,1,"chevrolet vega (sw)"
"48",19,6,250,100,3282,15,71,1,"pontiac firebird"
"49",18,6,250,88,3139,14.5,71,1,"ford mustang"
"50",23,4,122,86,2220,14,71,1,"mercury capri 2000"
"51",28,4,116,90,2123,14,71,2,"opel 1900"
"52",30,4,79,70,2074,19.5,71,2,"peugeot 304"
"53",30,4,88,76,2065,14.5,71,2,"fiat 124b"
"54",31,4,71,65,1773,19,71,3,"toyota corolla 1200"
"55",35,4,72,69,1613,18,71,3,"datsun 1200"
"56",27,4,97,60,1834,19,71,2,"volkswagen model 111"
"57",26,4,91,70,1955,20.5,71,1,"plymouth cricket"
"58",24,4,113,95,2278,15.5,72,3,"toyota corona hardtop"
"59",25,4,97.5,80,2126,17,72,1,"dodge colt hardtop"
"60",23,4,97,54,2254,23.5,72,2,"volkswagen type 3"
"61",20,4,140,90,2408,19.5,72,1,"chevrolet vega"
"62",21,4,122,86,2226,16.5,72,1,"ford pinto runabout"
"63",13,8,350,165,4274,12,72,1,"chevrolet impala"
"64",14,8,400,175,4385,12,72,1,"pontiac catalina"
"65",15,8,318,150,4135,13.5,72,1,"plymouth fury iii"
"66",14,8,351,153,4129,13,72,1,"ford galaxie 500"
"67",17,8,304,150,3672,11.5,72,1,"amc ambassador sst"
"68",11,8,429,208,4633,11,72,1,"mercury marquis"
"69",13,8,350,155,4502,13.5,72,1,"buick lesabre custom"
"70",12,8,350,160,4456,13.5,72,1,"oldsmobile delta 88 royale"
"71",13,8,400,190,4422,12.5,72,1,"chrysler newport royal"
"72",19,3,70,97,2330,13.5,72,3,"mazda rx2 coupe"
"73",15,8,304,150,3892,12.5,72,1,"amc matador (sw)"
"74",13,8,307,130,4098,14,72,1,"chevrolet chevelle concours (sw)"
"75",13,8,302,140,4294,16,72,1,"ford gran torino (sw)"
"76",14,8,318,150,4077,14,72,1,"plymouth satellite custom (sw)"
"77",18,4,121,112,2933,14.5,72,2,"volvo 145e (sw)"
"78",22,4,121,76,2511,18,72,2,"volkswagen 411 (sw)"
"79",21,4,120,87,2979,19.5,72,2,"peugeot 504 (sw)"
"80",26,4,96,69,2189,18,72,2,"renault 12 (sw)"
"81",22,4,122,86,2395,16,72,1,"ford pinto (sw)"
"82",28,4,97,92,2288,17,72,3,"datsun 510 (sw)"
"83",23,4,120,97,2506,14.5,72,3,"toyouta corona mark ii (sw)"
"84",28,4,98,80,2164,15,72,1,"dodge colt (sw)"
"85",27,4,97,88,2100,16.5,72,3,"toyota corolla 1600 (sw)"
"86",13,8,350,175,4100,13,73,1,"buick century 350"
"87",14,8,304,150,3672,11.5,73,1,"amc matador"
"88",13,8,350,145,3988,13,73,1,"chevrolet malibu"
"89",14,8,302,137,4042,14.5,73,1,"ford gran torino"
"90",15,8,318,150,3777,12.5,73,1,"dodge coronet custom"
"91",12,8,429,198,4952,11.5,73,1,"mercury marquis brougham"
"92",13,8,400,150,4464,12,73,1,"chevrolet caprice classic"
"93",13,8,351,158,4363,13,73,1,"ford ltd"
"94",14,8,318,150,4237,14.5,73,1,"plymouth fury gran sedan"
"95",13,8,440,215,4735,11,73,1,"chrysler new yorker brougham"
"96",12,8,455,225,4951,11,73,1,"buick electra 225 custom"
"97",13,8,360,175,3821,11,73,1,"amc ambassador brougham"
"98",18,6,225,105,3121,16.5,73,1,"plymouth valiant"
"99",16,6,250,100,3278,18,73,1,"chevrolet nova custom"
"100",18,6,232,100,2945,16,73,1,"amc hornet"
"101",18,6,250,88,3021,16.5,73,1,"ford maverick"
"102",23,6,198,95,2904,16,73,1,"plymouth duster"
"103",26,4,97,46,1950,21,73,2,"volkswagen super beetle"
"104",11,8,400,150,4997,14,73,1,"chevrolet impala"
"105",12,8,400,167,4906,12.5,73,1,"ford country"
"106",13,8,360,170,4654,13,73,1,"plymouth custom suburb"
"107",12,8,350,180,4499,12.5,73,1,"oldsmobile vista cruiser"
"108",18,6,232,100,2789,15,73,1,"amc gremlin"
"109",20,4,97,88,2279,19,73,3,"toyota carina"
"110",21,4,140,72,2401,19.5,73,1,"chevrolet vega"
"111",22,4,108,94,2379,16.5,73,3,"datsun 610"
"112",18,3,70,90,2124,13.5,73,3,"maxda rx3"
"113",19,4,122,85,2310,18.5,73,1,"ford pinto"
"114",21,6,155,107,2472,14,73,1,"mercury capri v6"
"115",26,4,98,90,2265,15.5,73,2,"fiat 124 sport coupe"
"116",15,8,350,145,4082,13,73,1,"chevrolet monte carlo s"
"117",16,8,400,230,4278,9.5,73,1,"pontiac grand prix"
"118",29,4,68,49,1867,19.5,73,2,"fiat 128"
"119",24,4,116,75,2158,15.5,73,2,"opel manta"
"120",20,4,114,91,2582,14,73,2,"audi 100ls"
"121",19,4,121,112,2868,15.5,73,2,"volvo 144ea"
"122",15,8,318,150,3399,11,73,1,"dodge dart custom"
"123",24,4,121,110,2660,14,73,2,"saab 99le"
"124",20,6,156,122,2807,13.5,73,3,"toyota mark ii"
"125",11,8,350,180,3664,11,73,1,"oldsmobile omega"
"126",20,6,198,95,3102,16.5,74,1,"plymouth duster"
"127",21,6,200,107.3087,2875,17,74,1,"ford maverick"
"128",23,4,115,95,2694,15,75,2,"audi 100ls"
"129",23,4,120,88,2957,17,75,2,"peugeot 504"
"130",22,4,121,98,2945,14.5,75,2,"volvo 244dl"
"131",25,4,121,115,2671,13.5,75,2,"saab 99le"
"132",33,4,91,53,1795,17.5,75,3,"honda civic cvcc"
"133",28,4,107,86,2464,15.5,76,2,"fiat 131"
"134",25,4,116,81,2220,16.9,76,2,"opel 1900"
"135",25,4,140,92,2572,14.9,76,1,"capri ii"
"136",26,4,98,79,2255,17.7,76,1,"dodge colt"
"137",27,4,101,83,2202,15.3,76,2,"renault 12tl"
"138",17.5,8,305,140,4215,13,76,1,"chevrolet chevelle malibu classic"
"139",16,8,318,150,4190,13,76,1,"dodge coronet brougham"
"140",15.5,8,304,120,3962,13.9,76,1,"amc matador"
"141",14.5,8,351,152,4215,12.8,76,1,"ford gran torino"
"142",22,6,225,100,3233,15.4,76,1,"plymouth valiant"
"143",22,6,250,105,3353,14.5,76,1,"chevrolet nova"
"144",24,6,200,81,3012,17.6,76,1,"ford maverick"
"145",22.5,6,232,90,3085,17.6,76,1,"amc hornet"
"146",29,4,85,52,2035,22.2,76,1,"chevrolet chevette"
"147",24.5,4,98,60,2164,22.1,76,1,"chevrolet woody"
"148",29,4,90,70,1937,14.2,76,2,"vw rabbit"
"149",33,4,91,53,1795,17.4,76,3,"honda civic"
"150",20,6,225,100,3651,17.7,76,1,"dodge aspen se"
"151",18,6,250,78,3574,21,76,1,"ford granada ghia"
"152",18.5,6,250,110,3645,16.2,76,1,"pontiac ventura sj"
"153",17.5,6,258,95,3193,17.8,76,1,"amc pacer d/l"
"154",29.5,4,97,71,1825,12.2,76,2,"volkswagen rabbit"
"155",32,4,85,70,1990,17,76,3,"datsun b-210"
"156",28,4,97,75,2155,16.4,76,3,"toyota corolla"
"157",26.5,4,140,72,2565,13.6,76,1,"ford pinto"
"158",20,4,130,102,3150,15.7,76,2,"volvo 245"
"159",13,8,318,150,3940,13.2,76,1,"plymouth volare premier v8"
"160",19,4,120,88,3270,21.9,76,2,"peugeot 504"
"161",19,6,156,108,2930,15.5,76,3,"toyota mark ii"
"162",16.5,6,168,120,3820,16.7,76,2,"mercedes-benz 280s"
"163",16.5,8,350,180,4380,12.1,76,1,"cadillac seville"
"164",13,8,350,145,4055,12,76,1,"chevy c10"
"165",13,8,302,130,3870,15,76,1,"ford f108"
"166",13,8,318,150,3755,14,76,1,"dodge d100"
"167",31.5,4,98,68,2045,18.5,77,3,"honda accord cvcc"
"168",30,4,111,80,2155,14.8,77,1,"buick opel isuzu deluxe"
"169",36,4,79,58,1825,18.6,77,2,"renault 5 gtl"
"170",25.5,4,122,96,2300,15.5,77,1,"plymouth arrow gs"
"171",33.5,4,85,70,1945,16.8,77,3,"datsun f-10 hatchback"
"172",17.5,8,305,145,3880,12.5,77,1,"chevrolet caprice classic"
"173",17,8,260,110,4060,19,77,1,"oldsmobile cutlass supreme"
"174",15.5,8,318,145,4140,13.7,77,1,"dodge monaco brougham"
